row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
13552,40919,"ENSG00000173145","NOC3L",64318
13553,2086,"ENSG00000173153","ESRRA",2101
13554,29717,"ENSG00000173156","RHOD",29984
13555,55872,"ENSG00000173157","ADAMTS20",80070
13556,80915,"ENSG00000173163","COMMD1",150684
13557,41583,"ENSG00000173166","RAPH1",65059
13558,4554,"ENSG00000173171","MTX1",4580
13559,108,"ENSG00000173175","ADCY5",111
13560,33916,"ENSG00000173193","PARP14",54625
13561,10642,"ENSG00000173198","CYSLTR1",10800
13562,81665,"ENSG00000173200","PARP15",165631
13563,1154,"ENSG00000173207","CKS1B",1163
13564,222,"ENSG00000173208","ABCD2",225
13565,79450,"ENSG00000173209","AHSA2",130872
13566,22641,"ENSG00000173210","ABLIM3",22885
13567,79180,"ENSG00000173212","C1orf161",126868
13568,,"ENSG00000173213","AP001005.1",
13569,60092,"ENSG00000173214","KIAA1919",91749
13570,57519,"ENSG00000173218","VANGL1",81839
13571,2728,"ENSG00000173221","GLRX",2745
13572,9513,"ENSG00000173226","IQCB1",9657
13573,60082,"ENSG00000173227","SYT12",91683
13574,2787,"ENSG00000173230","GOLGB1",2804
13575,90196,"ENSG00000173237","C11orf86",254439
13576,109895,"ENSG00000173239","LIPM",340654
13577,79600,"ENSG00000173250","GPR151",134391
13578,10508,"ENSG00000173253","DMRT2",10655
13579,81383,"ENSG00000173258","ZNF483",158399
13580,81152,"ENSG00000173261","PLAC8L1",153770
13581,80351,"ENSG00000173262","SLC2A14",144195
13582,36113,"ENSG00000173264","GPR137",56834
13583,6583,"ENSG00000173267","SNCG",6623
13584,55615,"ENSG00000173269","MMRN2",79812
13585,166317,"ENSG00000173272","FAM128A",653784
13586,8589,"ENSG00000173273","TNKS",8658
13587,83749,"ENSG00000173275","ZNF449",203523
13588,29964,"ENSG00000173276","ZNF295",49854
13589,55463,"ENSG00000173281","PPP1R3B",79660
13590,124128,"ENSG00000173285","OR10K1",391109
13591,,"ENSG00000173295","AC068020.3",
13592,110124,"ENSG00000173302","GPR148",344561
13593,36256,"ENSG00000173320","STOX2",56977
13594,4271,"ENSG00000173327","MAP3K11",4296
13595,10075,"ENSG00000173334","TRIB1",10221
13596,79336,"ENSG00000173335","CST9",128822
13597,9944,"ENSG00000173338","KCNK7",10089
13598,59017,"ENSG00000173349","SFT2D3",84826
13599,,"ENSG00000173366","TWF2",
13600,709,"ENSG00000173369","C1QB",713
13601,708,"ENSG00000173372","C1QA",712
13602,55428,"ENSG00000173376","C4orf31",79625
13603,79500,"ENSG00000173389","IQCF1",132141
13604,4941,"ENSG00000173391","OLR1",4973
13605,90367,"ENSG00000173401","GLIPR1L1",256710
13606,1593,"ENSG00000173402","DAG1",1605
13607,3617,"ENSG00000173404","INSM1",3642
13608,1588,"ENSG00000173406","DAB1",1600
13609,41374,"ENSG00000173409","ARV1",64801
13610,30608,"ENSG00000173418","NAT5",51126
13611,109746,"ENSG00000173421","CCDC36",339834
13612,78908,"ENSG00000173431","RNASE8",122665
13613,6255,"ENSG00000173432","SAA1",6288
13614,133736,"ENSG00000173436","C1orf151",440574
13615,90168,"ENSG00000173442","EHBP1L1",254102
13616,57833,"ENSG00000173451","THAP2",83591
13617,90325,"ENSG00000173452","TMEM196",256130
13618,54941,"ENSG00000173456","RNF26",79102
13619,26220,"ENSG00000173457","PPP1R14B",26472
13620,78906,"ENSG00000173464","RNASE11",122651
13621,10387,"ENSG00000173465","SSSCA1",10534
13622,81260,"ENSG00000173467","AGR3",155465
13623,6560,"ENSG00000173473","SMARCC1",6599
13624,80627,"ENSG00000173480","ZNF417",147687
13625,5765,"ENSG00000173482","PTPRM",5797
13626,2270,"ENSG00000173486","FKBP2",2286
13627,7380,"ENSG00000173511","VEGFB",7423
13628,55637,"ENSG00000173517","AC107883.1",79834
13629,8716,"ENSG00000173530","TNFRSF10D",8793
13630,4459,"ENSG00000173531","MST1",4485
13631,8717,"ENSG00000173535","TNFRSF10C",8794
13632,29658,"ENSG00000173540","GMPPB",29925
13633,60197,"ENSG00000173542","MOBKL1A",92597
13634,59914,"ENSG00000173545","ZNF622",90441
13635,1453,"ENSG00000173546","CSPG4",1464
13636,90411,"ENSG00000173548","SNX33",257364
13637,109730,"ENSG00000173557","C2orf70",339778
13638,41422,"ENSG00000173559","OBFC2A",64859
13639,55676,"ENSG00000173566","NUDT18",79873
13640,81654,"ENSG00000173567","GPR113",165082
13641,79114,"ENSG00000173572","NLRP13",126204
13642,1098,"ENSG00000173575","CHD2",1106
13643,2812,"ENSG00000173578","XCR1",2829
13644,29637,"ENSG00000173581","CCDC106",29903
13645,10645,"ENSG00000173585","CCR9",10803
13646,30616,"ENSG00000173588","CCDC41",51134
13647,27029,"ENSG00000173597","SULT1B1",27284
13648,11004,"ENSG00000173598","NUDT4P1",11163
13649,5059,"ENSG00000173599","PC",5091
13650,1003378,"ENSG00000173610","UGT2A1",574537
13651,94825,"ENSG00000173611","C9orf126",286205
13652,85857,"ENSG00000173612","GPRC6A",222545
13653,41375,"ENSG00000173614","NMNAT1",64802
13654,54839,"ENSG00000173621","LRFN4",78999
13655,1000860,"ENSG00000173626","BET3L",100128327
13656,126344,"ENSG00000173627","APOBEC4",403314
13657,6537,"ENSG00000173638","SLC19A1",6573
13658,26874,"ENSG00000173641","HSPB7",27129
13659,9842,"ENSG00000173653","RCE1",9986
13660,7345,"ENSG00000173660","UQCRH",7388
13661,56606,"ENSG00000173662","TAS1R1",80835
13662,124076,"ENSG00000173673","HES3",390992
13663,1951,"ENSG00000173674","EIF1AX",1964
13664,135547,"ENSG00000173678","RP11-577H5.2",100310812
13665,26484,"ENSG00000173679","OR1L1",26737
13666,90363,"ENSG00000173681","CXorf23",256643
13667,5675,"ENSG00000173692","PSMD1",5707
13668,10004,"ENSG00000173698","GPR64",10149
13669,79429,"ENSG00000173699","SPATA3",130560
13670,35946,"ENSG00000173702","MUC13",56667
13671,25781,"ENSG00000173705","SUSD5",26032
