gene,gene_gencodeV33,gene_id,chromosome,ASD72,ASD185,DD309,DD477,NDD373,NDD664,Satterstrom102,SCZ10,SCZ244,FDR_TADA_ASD,FDR_TADA_DD,FDR_TADA_NDD,p_TADA_ASD,p_TADA_DD,p_TADA_NDD,l10BF_ASD_PTV,l10BF_ASD_misB,l10BF_ASD_misA,l10BF_ASD_DEL,l10BF_ASD_DUP,l10BF_DD_PTV,l10BF_DD_misB,l10BF_DD_misA
C10orf91,C10orf91,ENSG00000180066,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909316264,0.911511317,0.876305349,0.955708037,0.933259612,0.954531747,0,0,0,0,0,0,0,0
ARL17B,ARL17B,ENSG00000228696,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909318607,0.911513586,0.876309593,0.955765559,0.933316949,0.954591338,0,0,0,0,0,0,0,0
NDUFA7,NDUFA7,ENSG00000267855,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.882839915,0.911515854,0.83382137,0.562084789,0.933374286,0.576126232,1.93E-16,0,0,0,0,0,0,0
DGCR6,DGCR6,ENSG00000183628,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909320951,0.911518122,0.876313836,0.955823081,0.933431623,0.95465093,0,0,0,0,0,0,0,0
HHLA3,HHLA3,ENSG00000197568,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887769801,0.91152039,0.841889194,0.61000064,0.93348896,0.625110379,9.64E-17,0,0,0,0,0,0,0
ACYP2,ACYP2,ENSG00000170634,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.882846301,0.911522658,0.833831916,0.562142311,0.933546297,0.576185823,1.93E-16,0,0,0,0,0,0,0
PSG6,PSG6,ENSG00000170848,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909323294,0.911524925,0.876318079,0.955880603,0.933603634,0.954710521,0,0,0,0,0,0,0,0
OR51F2,OR51F2,ENSG00000176925,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909325637,0.911527192,0.876322321,0.955938125,0.933660972,0.954770112,0,0,0,0,0,0,0,0
RNASE7,RNASE7,ENSG00000165799,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909327979,0.911529459,0.876326562,0.955995647,0.933718309,0.954829704,0,0,0,0,0,0,0,0
C5orf64,C5orf64,ENSG00000178722,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909330322,0.911531726,0.876330804,0.956053169,0.933775646,0.954889295,0,0,0,0,0,0,0,0
COX8A,COX8A,ENSG00000176340,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909332664,0.6094213,0.697122778,0.956110691,0.069664215,0.213572364,0,0,0,0,0,0,0,0.18537584
MEIG1,MEIG1,ENSG00000197889,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909335005,0.911533992,0.876335044,0.956168213,0.933832983,0.954948887,0,0,0,0,0,0,0,0
CHAC2,CHAC2,ENSG00000143942,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909337347,0.911536258,0.876339285,0.956225736,0.93389032,0.955008478,0,0,0,0,0,0,0,0
TREML1,TREML1,ENSG00000161911,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909339688,0.911538524,0.876343524,0.956283258,0.933947657,0.95506807,0,0,0,0,0,0,0,0
MC5R,MC5R,ENSG00000176136,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.874868482,0.911540789,0.821273318,0.497785903,0.934004994,0.512075767,0,0,0.006744586,0,0,0,0,0
DDTL,DDTL,ENSG00000099974,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909342029,0.911543055,0.876347763,0.95634078,0.934062331,0.955127661,0,0,0,0,0,0,0,0
OR4S1,OR4S1,ENSG00000176555,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887775285,0.91154532,0.841898327,0.610058162,0.934119668,0.62516997,9.64E-17,0,0,0,0,0,0,0
C8orf33,C8orf33,ENSG00000182307,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90934437,0.911547584,0.876352002,0.956398302,0.934177005,0.955187252,0,0,0,0,0,0,0,0
OR2T33,OR2T33,ENSG00000177212,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.859805627,0.911549849,0.799265084,0.405553671,0.934234343,0.424552905,0,0.033591527,0,0,0,0,0,0
ECI1,ECI1,ENSG00000167969,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90934671,0.911552113,0.87635624,0.956455824,0.93429168,0.955246844,0,0,0,0,0,0,0,0
RP11-830F9.6,AC092384.1,ENSG00000205018,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90934905,0.911554377,0.876360478,0.956513346,0.934349017,0.955306435,0,0,0,0,0,0,0,0
AC003006.7,AC003006.1,ENSG00000269026,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90935139,0.91155664,0.876364715,0.956570868,0.934406354,0.955366027,0,0,0,0,0,0,0,0
PHPT1,PHPT1,ENSG00000054148,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90935373,0.911558904,0.876368952,0.95662839,0.934463691,0.955425618,0,0,0,0,0,0,0,0
AAMDC,AAMDC,ENSG00000087884,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.880623018,0.911561167,0.830222051,0.542757387,0.934521028,0.556401472,2.89E-16,0,0,0,0,0,0,0
ATP2C2,ATP2C2,ENSG00000064270,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909356069,0.91156343,0.876373189,0.956685912,0.934578365,0.955485209,0,0,0,0,0,0,0,0
C17orf64,C17orf64,ENSG00000141371,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909358408,0.911565692,0.876377424,0.956743434,0.934635702,0.955544801,0,0,0,0,0,0,0,0
LCE2A,LCE2A,ENSG00000187173,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909360747,0.911567955,0.87638166,0.956800956,0.934693039,0.955604392,0,0,0,0,0,0,0,0
SCP2D1,SCP2D1,ENSG00000132631,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909363086,0.911570217,0.876385895,0.956858478,0.934750377,0.955663984,0,0,0,0,0,0,0,0
OR1L1,OR1L1,ENSG00000173679,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.882852687,0.911572478,0.833842461,0.562199833,0.934807714,0.576245415,1.93E-16,0,0,0,0,0,0,0
C14orf177,C14orf177,ENSG00000176605,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909365424,0.91157474,0.876390129,0.956916,0.934865051,0.955723575,0,0,0,0,0,0,0,0
IFITM3,IFITM3,ENSG00000142089,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909367762,0.911577001,0.876394363,0.956973522,0.934922388,0.955783167,0,0,0,0,0,0,0,0
AMY1A,AMY1A,ENSG00000237763,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9093701,0.911579262,0.876398596,0.957031044,0.934979725,0.955842758,0,0,0,0,0,0,0,0
PSG3,PSG3,ENSG00000221826,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909372437,0.911581523,0.876402829,0.957088566,0.935037062,0.955902349,0,0,0,0,0,0,0,0
SCGB3A1,SCGB3A1,ENSG00000161055,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909374775,0.911583783,0.876407061,0.957146088,0.935094399,0.955961941,0,0,0,0,0,0,0,0
SPINK8,SPINK8,ENSG00000229453,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887780767,0.911586044,0.841907458,0.610115684,0.935151736,0.625229562,9.64E-17,0,0,0,0,0,0,0
OR4F5,OR4F5,ENSG00000186092,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909377111,0.911588303,0.876411293,0.95720361,0.935209073,0.956021532,0,0,0,0,0,0,0,0
CCL24,CCL24,ENSG00000106178,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909379448,0.911590563,0.876415525,0.957261132,0.93526641,0.956081124,0,0,0,0,0,0,0,0
ZNF730,ZNF730,ENSG00000183850,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.879338778,0.911592822,0.828123089,0.532115814,0.935323748,0.545436653,3.99E-05,0,0,0,0,0,0,0
CRYGN,CRYGN,ENSG00000127377,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909381784,0.911595082,0.876419756,0.957318654,0.935381085,0.956140715,0,0,0,0,0,0,0,0
GDPGP1,GDPGP1,ENSG00000183208,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909384121,0.91159734,0.876423986,0.957376176,0.935438422,0.956200307,0,0,0,0,0,0,0,0
CGB2,CGB2,ENSG00000104818,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.828356021,0.911599599,0.75732766,0.283635272,0.935495759,0.311493601,0,0.091598674,0,0,0,0,0,0
RP1-127H14.3,AC002563.1,ENSG00000255692,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909386456,0.911601857,0.876428216,0.957433698,0.935553096,0.956259898,0,0,0,0,0,0,0,0
CLEC2A,CLEC2A,ENSG00000188393,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887786248,0.911604115,0.841916587,0.610173206,0.935610433,0.625289153,9.64E-17,0,0,0,0,0,0,0
DEFB104B,DEFB104B,ENSG00000177023,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909388792,0.911606373,0.876432446,0.95749122,0.93566777,0.956319489,0,0,0,0,0,0,0,0
RP11-368I7.4,LINC02166,ENSG00000260259,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909391127,0.911608631,0.876436675,0.957548742,0.935725107,0.956379081,0,0,0,0,0,0,0,0
RPAIN,RPAIN,ENSG00000129197,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909393462,0.911610888,0.876440903,0.957606264,0.935782444,0.956438672,0,0,0,0,0,0,0,0
VCPKMT,VCPKMT,ENSG00000100483,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887791729,0.911613145,0.841925715,0.610230728,0.935839781,0.625348744,9.64E-17,0,0,0,0,0,0,0
UBD,UBD,ENSG00000213886,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887797208,0.911615402,0.841934841,0.61028825,0.935897119,0.625408336,9.64E-17,0,0,0,0,0,0,0
RP11-80A15.1,AL132800.1,ENSG00000258744,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909395797,0.911617658,0.876445131,0.957663786,0.935954456,0.956498264,0,0,0,0,0,0,0,0
RP11-9B6.1,AC112695.1,ENSG00000248511,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909398132,0.911619914,0.876449359,0.957721308,0.936011793,0.956557855,0,0,0,0,0,0,0,0
ZNF92,ZNF92,ENSG00000146757,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909400466,0.91162217,0.876453586,0.95777883,0.93606913,0.956617446,0,0,0,0,0,0,0,0
GPR148,GPR148,ENSG00000173302,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9094028,0.911624426,0.876457812,0.957836352,0.936126467,0.956677038,0,0,0,0,0,0,0,0
