gene,gene_gencodeV33,gene_id,chromosome,ASD72,ASD185,DD309,DD477,NDD373,NDD664,Satterstrom102,SCZ10,SCZ244,FDR_TADA_ASD,FDR_TADA_DD,FDR_TADA_NDD,p_TADA_ASD,p_TADA_DD,p_TADA_NDD,l10BF_ASD_PTV,l10BF_ASD_misB,l10BF_ASD_misA,l10BF_ASD_DEL,l10BF_ASD_DUP,l10BF_DD_PTV,l10BF_DD_misB,l10BF_DD_misA
MED13,MED13,ENSG00000108510,17,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.39E-07,0.00140044,8.05E-11,2.10E-10,2.67E-05,8.38E-13,6.671036698,0.362988212,0.062879054,0,0,0.689642894,0,2.252032884
NIPBL,NIPBL,ENSG00000164190,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,9.95E-06,0.014825475,2.83E-08,2.29E-08,0.000354337,3.60E-10,0,1.58622355,0.144206023,0,3.659043176,0,2.094021274,0
SMC3,SMC3,ENSG00000108055,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.158490005,1.89E-07,7.27E-09,0.003195632,2.14E-09,8.61E-11,0,1.440558763,0,0,0,0,6.407788885,0.151996256
CNOT1,CNOT1,ENSG00000125107,16,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.543842194,0.000210396,4.25E-05,0.041293437,3.50E-06,7.68E-07,0,0.62748648,0,0,0,2.835347424,1.000775026,0
RLF,RLF,ENSG00000117000,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.621283877,0.173824587,0.088419333,0.063763241,0.007029075,0.004353886,0.46361649,0,0.023186994,0,0,1.059781101,0,0
PCF11,PCF11,ENSG00000165494,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.842561675,0.533700033,0.58076077,0.330180032,0.048864668,0.1150819,0,0.040708187,0.023630191,0,0,0,0.320461041,0
FNDC3B,FNDC3B,ENSG00000075420,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888479981,0.701929324,0.843054687,0.617536026,0.111504248,0.632797672,0,0,0,0,0,0,0,0
RSF1,RSF1,ENSG00000048649,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88848534,0.70202354,0.843063624,0.617593548,0.111561585,0.632857263,0,0,0,0,0,0,0,0
NCKAP1,NCKAP1,ENSG00000061676,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.008298073,0.702117685,0.00461171,5.38E-05,0.111618922,0.000126706,0.534794598,0.807107697,0,1.206511896,0.050489421,0,0,0
KDM2A,KDM2A,ENSG00000173120,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.842018667,0.702211758,0.774568548,0.328182806,0.111676259,0.351624038,0,0,0.065216759,0,0,0,0,0
BRD4,BRD4,ENSG00000141867,19,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.351935439,0.010016254,0.000936135,0.013957733,0.000229117,2.18E-05,0.588591644,0,0.401748616,0,0,0,0,2.259295986
HELZ,HELZ,ENSG00000198265,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.837779818,0.702305759,0.769050089,0.313240171,0.111733597,0.337975241,0,0.072629728,0,0,0,0,0,0
FBN1,FBN1,ENSG00000166147,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.85227012,1.19E-11,1.09E-11,0.369488461,9.68E-14,1.05E-13,0,0,0.04660132,0,0,3.941824887,0,6.709740239
XPO1,XPO1,ENSG00000082898,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.028967626,0.000486227,2.53E-06,0.000270112,8.69E-06,3.93E-08,0,0.78892981,0.089966014,0,1.270036079,0,3.384627637,0
PRR12,PRR12,ENSG00000126464,19,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.014828787,6.82E-10,1.91E-12,0.000112234,6.38E-12,1.78E-14,1.990789734,0.074376881,0.366095855,0,0,9.057612628,0,0
SYNGAP1,SYNGAP1,ENSG00000197283,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,24.62866869,4.022716894,0.149576215,1.091557179,0,69.31198977,2.141937647,0
PRKDC,PRKDC,ENSG00000253729,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888490698,0.70239969,0.843072559,0.61765107,0.111790934,0.632916855,0,0,0,0,0,0,0,0
HDAC4,HDAC4,ENSG00000068024,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.026150461,0.007685334,2.89E-05,0.000235926,0.000170696,5.10E-07,1.872130215,0.313604083,0.0345346,0,0,0.661028954,0.706268966,0.982884957
SMG1,SMG1,ENSG00000157106,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888496055,0.702493549,0.843081493,0.617708592,0.111848271,0.632976446,0,0,0,0,0,0,0,0
ZC3H4,ZC3H4,ENSG00000130749,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.858638278,0.702587337,0.797457416,0.399596082,0.111905608,0.418440366,0,0,0.035652616,0,0,0,0,0
COL5A1,COL5A1,ENSG00000130635,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.753083365,0.702681054,0.667891108,0.148424175,0.111962945,0.181071688,0,0,0.230788291,0,0,0,0,0
SMARCA4,SMARCA4,ENSG00000127616,19,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.170242787,0,0,0.003597533,0,0,0,1.110055468,0.205132292,0.100712023,0,0.705089436,37.70945861,0
TNPO1,TNPO1,ENSG00000083312,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.849542532,0.7027747,0.784626639,0.357709446,0.112020282,0.378781042,0,0.051614849,0,0,0,0,0,0
AGO1,AGO1,ENSG00000092847,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.859482966,9.52E-05,0.00010865,0.403892281,1.50E-06,2.10E-06,0.034235803,0,0,0,0,0,4.053414505,0
ARHGAP35,ARHGAP35,ENSG00000160007,19,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.855953032,0.000165285,0.000157126,0.38642608,2.70E-06,3.12E-06,0,0,0.040101779,0,0,2.568519763,0,1.343125829
LRP1,LRP1,ENSG00000123384,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888501411,0.702868275,0.843090425,0.617766114,0.112077619,0.633036038,0,0,0,0,0,0,0,0
TOP1,TOP1,ENSG00000198900,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.859045568,0.702961779,0.798146754,0.40165816,0.112134956,0.420754648,0,0,0.034782213,0,0,0,0,0
TRIP12,TRIP12,ENSG00000153827,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.009346011,0,0,6.22E-05,0,0,1.336891775,0.943731573,0.30445874,0,0,14.2776889,3.207239533,0
KMT2E,KMT2E,ENSG00000005483,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.230735395,6.61E-11,2.66E-12,0.00611926,5.70E-13,2.49E-14,1.126757811,0,0.123298858,0,0,9.459945743,0,0.515327318
UBTF,UBTF,ENSG00000108312,17,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.723882011,1.42E-06,7.86E-07,0.12066591,1.77E-08,1.16E-08,0.167337289,0,0.116005572,0,0,0.723513275,5.076194129,0
KDM3B,KDM3B,ENSG00000120733,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.010380558,0.042319311,7.35E-05,7.10E-05,0.001182583,1.38E-06,1.124359672,0.652801203,0,0,0.789369684,0,1.404601342,0.275897463
TRRAP,TRRAP,ENSG00000196367,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.689616058,0.000174234,8.40E-05,0.096330886,2.86E-06,1.59E-06,0,0,0.355073783,0,0,0,3.862741455,0
GRIN2B,GRIN2B,ENSG00000273079,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3.12E-15,0,0,1.89E-18,0,0,10.89452387,2.300700222,0.471680782,1.187941121,0,10.71084366,49.34863641,9.805204664
USP7,USP7,ENSG00000187555,16,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.629148184,8.87E-07,2.81E-07,0.066741758,1.08E-08,3.97E-09,0,0,0.473357678,0,0,2.785951387,3.286684848,0
ATP1A3,ATP1A3,ENSG00000105409,19,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.02204825,0,0,0.000188236,0,0,0,2.18619862,0.078425243,0,0,0.816426315,20.71838729,3.849829956
ASH1L,ASH1L,ENSG00000116539,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.46E-11,2.49E-05,2.46E-17,1.32E-14,3.60E-07,1.74E-19,9.944964722,1.219643608,0.141978664,0,0,4.225906082,0.443929306,0
ANKRD17,ANKRD17,ENSG00000132466,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.697664512,0.33725472,0.269487731,0.101426021,0.019316854,0.022668767,0.305593704,0,0.033810529,0,0,0.66962444,0,0
NPEPPS,NPEPPS,ENSG00000141279,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888506766,0.703055212,0.843099356,0.617823636,0.112192293,0.633095629,0,0,0,0,0,0,0,0
CHERP,CHERP,ENSG00000085872,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.861719313,0.703148575,0.80201074,0.415639414,0.112249631,0.434110989,0,0,0.029868231,0,0,0,0,0
MED13L,MED13L,ENSG00000123066,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.90E-06,0,0,5.62E-09,0,0,5.341176582,0.098392782,0.528782859,0,0,74.97283244,1.661425796,4.304762344
RPRD2,RPRD2,ENSG00000163125,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.55836351,0.703241868,0.464206346,0.044728823,0.112306968,0.064934584,0,0.534855286,0.067148579,0,0,0,0,0
KMT2A,KMT2A,ENSG00000118058,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.000183504,0,0,6.11E-07,0,0,1.316580355,2.1367963,0.636799602,0,0,137.9641194,9.933367857,1.18998237
CREBBP,CREBBP,ENSG00000005339,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.001136478,0,0,5.09E-06,0,0,0.07822647,0.832380095,1.273386939,1.18234022,0,15.87952376,3.853481061,39.2135074
SF3B1,SF3B1,ENSG00000115524,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.619720607,0.086753584,0.035392877,0.063190039,0.002822204,0.001354272,0,0,0.489483031,0,0,0,1.421276348,0
EIF3B,EIF3B,ENSG00000106263,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.671569513,0.030290798,0.014343373,0.086043334,0.00080075,0.000460661,0.289296556,0,0.100777924,0,0,0,1.827774046,0
PPFIA1,PPFIA1,ENSG00000131626,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888512121,0.703335089,0.843108285,0.617881158,0.112364305,0.63315522,0,0,0,0,0,0,0,0
ZSWIM6,ZSWIM6,ENSG00000130449,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888517474,0.26574071,0.354189,0.61793868,0.013087611,0.037036573,0,0,0,0,0,0.821984629,0,0
PRPF3,PRPF3,ENSG00000117360,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.875121061,0.130687984,0.180166038,0.499625237,0.004779918,0.011911698,0,0,0.006109021,0,0,0,0.701113979,0.516350223
KAT6A,KAT6A,ENSG00000083168,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.713975735,0,0,0.11287582,0,0,0.305945214,0,0,0,0,78.51816113,2.247548229,0
KMT2B,KMT2B,ENSG00000272333,19,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.29871697,4.90E-10,4.92E-11,0.009947941,4.53E-12,5.00E-13,0.159046852,0.886105241,0.062415839,0,0,8.567500067,0.579733432,0
SIN3A,SIN3A,ENSG00000169375,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.019554936,0,0,0.00016103,0,0,0.61399729,1.511345372,0.171922501,0,0,19.42018956,0,0
CHD2,CHD2,ENSG00000173575,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3.61E-16,0,0,1.75E-19,0,0,8.415062486,5.901847494,0.098725711,1.630426034,0,23.3662907,9.196857338,0
ARID1A,ARID1A,ENSG00000117713,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.411345931,7.43E-07,8.06E-08,0.0198009,8.93E-09,1.07E-09,0.71935959,0,0.160938656,0,0,6.140594427,0,0
GLTSCR1L,BICRAL,ENSG00000112624,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.765985013,0.703428241,0.682394425,0.163628687,0.112421642,0.196304225,0.18662691,0,0.020072187,0,0,0,0,0
SCN1A,SCN1A,ENSG00000144285,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.95E-05,0,0,4.97E-08,0,0,1.135671676,1.115099003,2.8019627,0,0,9.119109946,12.76832529,7.411152983
TJP1,TJP1,ENSG00000104067,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.793679596,0.392884213,0.396020453,0.205010763,0.025443476,0.046155499,0,0,0.157509953,0,0,0,0,0.57300382
SPEN,SPEN,ENSG00000065526,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.032689188,1.56E-11,7.95E-14,0.00031669,1.28E-13,6.84E-16,0.023072514,1.56235837,0.500349498,0,0,10.56902774,0,0
WDFY3,WDFY3,ENSG00000163625,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.256499353,0.243145182,0.02407763,0.007423774,0.011417142,0.000848809,1.02777838,0.098999086,0.055342181,0,0,0.876185008,0,0
EHMT1,EHMT1,ENSG00000181090,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3.72E-06,0,0,7.44E-09,0,0,3.830510011,0.374769267,0,1.597496546,0,62.23337788,2.468914854,0.275755296
JMJD1C,JMJD1C,ENSG00000171988,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.867412648,0.703521322,0.810341005,0.448217681,0.112478979,0.465306212,0,0,0.019366054,0,0,0,0,0
MAP3K12,MAP3K12,ENSG00000139625,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.837155455,0.47143801,0.516701521,0.311131219,0.036733557,0.083945927,0,0,0.073843527,0,0,0,0,0.432026386
GGNBP2,GGNBP2,ENSG00000005955,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.156984568,0.215863122,0.008290046,0.003146267,0.009562835,0.000245448,1.331786777,0,0.111068924,0,0,0.735477607,0.169859004,0.039571037
TLE3,TLE3,ENSG00000140332,15,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.016846761,0.230285756,0.000770074,0.000132608,0.010521438,1.76E-05,2.412566489,0,0.000136118,0,0,0.918205198,0,0
CHD6,CHD6,ENSG00000124177,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.607090845,0.703614333,0.512742806,0.058777721,0.112536316,0.082337878,0.093090048,0.421203872,0,0,0,0,0,0
UBR5,UBR5,ENSG00000104517,8,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.002224383,0.266905061,0.000150918,1.12E-05,0.013177173,2.99E-06,1.781388983,0,0.977967984,0,0.376906366,0.208729866,0,0.610602361
EIF4G1,EIF4G1,ENSG00000114867,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.71670831,0.703707273,0.627870656,0.114956887,0.112593653,0.146236324,0,0,0.298984628,0,0,0,0,0
NBEA,NBEA,ENSG00000172915,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.753235074,0.622454825,0.577241536,0.148590899,0.074197125,0.113081012,0,0,0.230632697,0,0,0,0.160001065,0
SMARCA5,SMARCA5,ENSG00000153147,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.840613835,0.680404032,0.742123643,0.323105274,0.099378946,0.28149868,0,0,0.06759075,0,0,0,0.046222498,0
TSC2,TSC2,ENSG00000103197,16,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.888522826,0.021742233,0.031419247,0.617996202,0.000547208,0.001170691,0,0,0,0,0,1.95882515,0,0
SUPT5H,SUPT5H,ENSG00000196235,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.816746672,0.703800144,0.742890361,0.252806837,0.11265099,0.282907905,0,0,0.112751085,0,0,0,0,0
GREB1L,GREB1L,ENSG00000141449,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888528178,0.703892945,0.843117213,0.618053724,0.112708327,0.633214812,0,0,0,0,0,0,0,0
PTCH1,PTCH1,ENSG00000185920,9,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.538543468,1.99E-12,5.10E-13,0.040108505,1.56E-14,4.61E-15,0,0.098994206,0.541161098,0,0,11.36297893,0,0
CHD7,CHD7,ENSG00000171316,8,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.592791597,0,0,0.054198789,0,0,0,0,0.539932724,0,0,37.4551768,4.712014904,5.689979341
RAD54L2,RAD54L2,ENSG00000164080,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.464423938,0.550681033,0.238890407,0.026714607,0.052845667,0.018536534,0,0.58337343,0.200958494,0,0,0,0.293094452,0
CNOT3,CNOT3,ENSG00000088038,19,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.132898566,2.01E-17,0,0.002406036,1.27E-19,0,0.190752255,1.062873055,0.008874899,0,0.278791284,7.101299914,9.529011967,0
AHDC1,AHDC1,ENSG00000126705,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.016042089,0,0,0.000124332,0,0,1.651891615,0,0.767488284,0,0,66.18700338,0,0
U2SURP,U2SURP,ENSG00000163714,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.59093943,0.539432756,0.337278138,0.053635854,0.050170924,0.033766124,0.542833073,0,0,0,0,0,0,0.310995947
RBM25,RBM25,ENSG00000119707,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.849009859,0.703985675,0.783835855,0.35548028,0.112765664,0.376530893,0,0.050246283,0.002290202,0,0,0,0,0
GIGYF2,GIGYF2,ENSG00000204120,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.409055781,0.704078336,0.319262514,0.019542051,0.112823002,0.030520597,0.888384922,0,0,0,0,0,0,0
MBTD1,MBTD1,ENSG00000011258,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888533528,0.225949841,0.301633395,0.618111246,0.010227876,0.027567609,0,0,0,0,0,0.925963751,0,0
DCAF5,DCAF5,ENSG00000139990,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.388637966,0.704170927,0.304042209,0.017366495,0.112880339,0.027959408,0.230032325,0.393094918,0.295371684,0,0,0,0,0
SUV420H1,KMT5B,ENSG00000110066,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3.33E-14,0,0,2.22E-17,0,0,13.40487984,0.235522425,0.11323324,0,0,15.57825513,3.104225073,0
RABGAP1,RABGAP1,ENSG00000011454,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.791021225,0.704263448,0.712058936,0.200396627,0.112937676,0.233289984,0,0,0.162160434,0,0,0,0,0
KHSRP,KHSRP,ENSG00000088247,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.82689151,0.612070309,0.641072247,0.27942879,0.070558091,0.156710288,0.003136271,0.070284669,0.02068568,0,0,0.080995973,0,0.100584865
TM9SF2,TM9SF2,ENSG00000125304,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.807586046,0.7043559,0.731252779,0.231976548,0.112995013,0.262559225,0,0,0.131804752,0,0,0,0,0
MATR3,MATR3,ENSG00000015479,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.698326534,0.704448282,0.606698534,0.101860532,0.11305235,0.131143976,0,0.262629439,0.075487336,0,0,0,0,0
PHF21A,PHF21A,ENSG00000135365,11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6.07E-05,1.07E-06,2.09E-11,1.80E-07,1.31E-08,2.06E-13,4.012793007,0,0.074441487,0.451521796,0,5.881724332,0.072214837,0
NAV1,NAV1,ENSG00000134369,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.633522463,0.704540595,0.537906023,0.068471656,0.113109687,0.093127001,0,0.085912112,0.379398039,0,0,0,0,0
HIVEP2,HIVEP2,ENSG00000010818,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.53149997,1.98E-08,3.04E-09,0.03858629,2.06E-10,3.50E-11,0.652596065,0,0,0,0,7.647602858,0,0
RBBP6,RBBP6,ENSG00000122257,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.878087778,0.704632838,0.826190203,0.522107601,0.113167024,0.535664257,0,0,0.001160054,0,0,0,0,0
GTPBP4,GTPBP4,ENSG00000107937,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888538878,0.704725012,0.843126139,0.618168768,0.113224361,0.633274403,0,0,0,0,0,0,0,0
MYBL1,MYBL1,ENSG00000185697,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.863054229,0.669307648,0.754461177,0.422919997,0.093799418,0.305487377,0,0,0.027363456,0,0,0.067832738,0,0
DYNC1H1,DYNC1H1,ENSG00000197102,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3.25E-09,0,0,3.93E-12,0,0,3.2999197,4.698331562,0.793612336,0,0,0,51.19604597,0
SBNO1,SBNO1,ENSG00000139697,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.649756948,0.704817117,0.555722777,0.075380156,0.113281698,0.10164964,0,0.386588055,0.047222911,0,0,0,0,0
PRKCB,PRKCB,ENSG00000166501,16,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.631150596,0.026047313,0.009958588,0.067527418,0.000672851,0.000302345,0,0.470242003,0,0,0,0,1.871670475,0
INO80,INO80,ENSG00000128908,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.719935648,0.704909152,0.631490242,0.117479758,0.113339035,0.149020344,0,0,0.292985299,0,0,0,0,0
TAF4,TAF4,ENSG00000130699,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.018115976,0.705001119,0.008701668,0.000145889,0.113396373,0.000259272,0.921892766,0.053652383,0.233535965,1.16523449,0,0,0,0
TRIM28,TRIM28,ENSG00000130726,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.484459975,0.238881216,0.07225343,0.029832486,0.011116,0.003335772,0,0,0.737133765,0,0,0,0.892073526,0
CHD8,CHD8,ENSG00000100888,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,22.55339352,8.481257579,1.248313367,0,0,17.3636376,0,0.358431371
RBM33,RBM33,ENSG00000184863,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888544226,0.685877373,0.799628657,0.61822629,0.102289573,0.425799366,0,0,0,0,0,0,0,0.03309417
SNRNP200,SNRNP200,ENSG00000144028,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.057026694,0.604860316,0.020971041,0.000676776,0.068157171,0.000719561,0,0,0.866654431,0,1.03799137,0,0.173665225,0.019670886
XPO6,XPO6,ENSG00000169180,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.777228038,0.705093016,0.695760234,0.178783876,0.11345371,0.21188927,0,0.179196995,0.008143125,0,0,0,0,0
SMARCAD1,SMARCAD1,ENSG00000163104,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.55632723,0.705184845,0.462905067,0.044228849,0.113511047,0.064520261,0.573191545,0,0.031309387,0,0,0,0,0
MACF1,MACF1,ENSG00000127603,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.2255,0.705276605,0.168836071,0.005871183,0.113568384,0.010802531,0,0.911469234,0.353063398,0,0,0,0,0
WAC,WAC,ENSG00000095787,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5.05E-05,0,0,1.47E-07,0,0,4.657898985,0,0,0,0,40.42138722,0,0.080954918
C17orf104,MEIOC,ENSG00000180336,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888549574,0.705368296,0.843135064,0.618283812,0.113625721,0.633333995,0,0,0,0,0,0,0,0
